ID,HowRare.is,MoonRank
0001,9193,9351
0002,8558,7372
0003,7746,8791
0004,6728,4370
0005,8972,7979
0006,9858,9575
0007,5091,2431
0008,1846,4721
0009,7815,7662
0010,4317,8433
0011,1804,1184
0012,4140,5943
0013,6441,4139
0014,4001,3441
0015,1103,2822
0016,7613,6227
0017,8123,6371
0018,8821,7859
0019,8065,7577
0020,4288,2309
0021,738,2784
0022,6605,7621
0023,7823,7272
0024,565,3685
0025,6677,6597
0026,7472,5965
0027,37,364
0028,8157,7254
0029,4589,6877
0030,9924,9930
0031,5940,7248
0032,8876,7944
0033,8766,9599
0034,9799,9755
0035,6293,2946
0036,8740,8473
0037,8276,7131
0038,7072,6620
0039,6261,7488
0040,4464,4905
0041,8939,8714
0042,9518,8592
0043,9275,9414
0044,7802,7652
0045,2357,5024
0046,8372,7154
0047,1477,2814
0048,6465,4390
0049,9219,9395
0050,2257,1440
0051,2624,1121
0052,8436,6827
0053,7396,6518
0054,9396,8619
0055,940,335
0056,8330,9053
0057,2628,1579
0058,4707,6109
0059,6845,4754
0060,6575,8357
0061,4676,2473
0062,1525,2044
0063,1795,564
0064,9276,9428
0065,7314,5998
0066,4445,4553
0067,8066,7176
0068,3240,2206
0069,5444,7203
0070,6520,6706
0071,1698,1040
0072,4079,2509
0073,5816,6110
0074,8950,9791
0075,9348,9466
0076,8884,7948
0077,1509,1605
0078,9651,9694
0079,6069,4291
0080,8940,7997
0081,7458,6744
0082,2138,5386
0083,2528,7617
0084,6959,7880
0085,2081,2459
0086,6336,6404
0087,8720,8289
0088,1530,2664
0089,4948,4042
0090,2802,1917
0091,1039,2004
0092,9432,8779
0093,2640,946
0094,5345,4656
0095,8230,6134
0096,2412,5906
0097,2311,655
0098,2171,1557
0099,3691,1862
0100,1067,2131
0101,4692,5231
0102,3993,6050
0103,8380,7418
0104,269,3076
0105,4358,5268
0106,6469,6602
0107,1300,1610
0108,2849,7616
0109,5576,2734
0110,5129,5289
0111,9120,9309
0112,5612,4100
0113,4409,7646
0114,7033,6417
0115,8630,9463
0116,6378,8151
0117,7544,7221
0118,2304,5525
0119,2365,3661
0120,5817,4878
0121,6119,1098
0122,2316,5749
0123,9917,9926
0124,1608,3003
0125,3325,3819
0126,7881,8118
0127,4665,6510
0128,5750,2944
0129,9342,9458
0130,8193,8126
0131,6997,8553
0132,9787,9880
0133,8772,9611
0134,9227,9372
0135,5788,371
0136,4153,2500
0137,8399,7580
0138,7574,5227
0139,8078,6634
0140,7301,6491
0141,780,2989
0142,7927,8049
0143,6597,5818
0144,6474,7155
0145,8082,8181
0146,9321,9178
0147,9839,9906
0148,4599,5460
0149,3298,2284
0150,7849,7829
0151,8336,8424
0152,6618,4403
0153,6836,7277
0154,9708,9868
0155,9331,9454
0156,4255,4442
0157,4232,3356
0158,5535,2084
0159,9287,9423
0160,4859,3149
0161,3052,1673
