ID,HowRare.is,MoonRank
1,2923,2183
2,2737,2689
3,580,190
4,906,1944
5,2078,3276
6,8231,7317
7,299,343
8,2070,1555
9,256,177
10,6679,6106
11,4655,3929
12,213,295
13,4135,3513
14,5765,5737
15,2072,1560
16,4724,3936
17,5856,5566
18,661,319
19,10020,9982
20,7451,7945
21,1246,794
22,914,470
23,4500,3790
24,9750,10018
25,1276,1575
26,5544,5928
27,4339,5228
28,3391,2638
29,6670,6187
30,8038,7777
31,2663,2291
32,2999,2385
33,8243,7324
34,7531,7350
35,6666,6188
36,3051,3731
37,9679,9441
38,8349,8652
39,1137,702
40,896,772
41,2586,2005
42,8815,8485
43,1347,957
44,1307,1487
45,1424,1011
46,2413,1952
47,2921,2359
48,1275,4067
49,2412,1954
50,930,949
51,2328,2223
52,7319,6418
53,1795,1394
54,5222,5468
55,15,844
56,1348,958
57,6788,6166
58,2040,1529
59,3879,4340
60,843,682
61,8242,7325
62,4666,3930
63,1899,1293
64,6013,5057
65,3424,2693
66,3614,3011
67,6592,6800
68,6683,6541
69,1500,1021
70,2788,2721
71,445,550
72,4498,3791
73,3160,2713
74,4324,3663
75,2520,1929
76,1611,2284
77,954,464
78,1788,1348
79,4867,5577
80,3102,2316
81,2619,2275
82,9700,10005
83,790,237
84,3551,3036
85,586,214
86,2858,2221
87,2284,1962
88,2066,1553
89,5375,4654
90,4815,3952
91,8533,8075
92,7635,7337
93,1582,1727
94,5155,5401
95,3052,2630
96,5169,4774
97,2248,1734
98,7105,6567
99,1195,1577
100,6590,6804
101,311,311
102,3086,4062
103,9466,9793
104,4573,5033
105,2426,2674
106,4750,3974
107,5400,4671
108,5408,4463
109,3029,2555
110,4369,3653
111,9902,9754
112,3686,4537
113,8974,9239
114,6674,7555
115,3666,2871
116,5891,5833
117,3625,2958
118,4501,3787
119,3036,2166
120,7364,6599
121,2460,2104
122,174,366
123,7576,6684
124,4322,3665
125,4784,5106
126,163,33
127,4824,3953
128,9858,9874
129,8047,7167
130,1859,1590
131,960,448
132,1525,1141
133,2274,2128
134,8532,8078
135,6762,6133
136,620,258
137,5312,6121
138,616,1550
139,3818,2815
140,8239,7326
141,5016,4422
142,5264,5481
143,3881,3351
144,4016,4625
145,6369,5355
146,675,344
147,7452,6856
148,1817,3414
149,2300,2788
150,8086,7551
151,421,686
152,2989,2386
153,8042,7787
154,560,447
155,3926,5309
156,2280,1960
157,4716,3764
158,2796,2120
159,2277,1707
160,3828,6300
161,5051,4396
162,5969,5343
163,9694,9132
164,5079,4314
165,941,1032
166,3317,2764
